County,State,None,D0,D1,D2,D3,D4
Lynchburg City,VA,48.88132075471698,51.11867924528302,28.936603773584906,9.433962264150944,0.0,0.0
Lynn County,TX,24.328301886792456,75.67169811320754,58.07962264150943,43.033962264150944,1.179245283018868,0.0
Lyon County,IA,0.0,100.0,76.80320754716982,9.48188679245283,0.0,0.0
Lyon County,KS,13.77245283018868,86.22754716981133,64.62830188679246,25.3911320754717,9.59943396226415,0.0
Lyon County,KY,75.51,24.490000000000002,3.285849056603774,0.0,0.0,0.0
Lyon County,MN,10.975094339622643,89.02490566037736,54.00660377358491,19.692075471698114,0.0,0.0
Lyon County,NV,76.62735849056604,23.37264150943396,17.797924528301888,4.248490566037736,0.0,0.0
Mackinac County,MI,93.26169811320754,6.738301886792453,0.0,0.0,0.0,0.0
Macomb County,MI,51.44377358490566,48.55622641509434,24.02320754716981,15.007547169811323,0.0,0.0
Macon County,AL,74.34188679245283,25.658113207547167,5.55245283018868,0.0,0.0,0.0
Macon County,GA,91.75245283018869,8.247547169811321,0.0,0.0,0.0,0.0
Macon County,IL,52.077358490566034,47.922641509433966,19.87622641509434,3.3656603773584903,0.0,0.0
Macon County,MO,20.52584905660377,79.47415094339622,53.07962264150943,20.23981132075472,2.509056603773585,0.0
Macon County,NC,68.8011320754717,31.1988679245283,21.326792452830187,16.677169811320756,6.65811320754717,0.0
Macon County,TN,67.83716981132075,32.162830188679244,20.117924528301888,2.4566037735849053,0.0,0.0
Macoupin County,IL,56.73094339622641,43.26905660377359,3.798867924528302,0.0,0.0,0.0
Madera County,CA,82.24962264150943,17.750377358490567,16.33301886792453,4.879245283018868,2.1962264150943396,0.49679245283018864
Madison County,AL,58.05547169811321,41.94452830188679,27.53679245283019,19.267169811320755,10.006226415094341,0.8120754716981133
Madison County,AR,68.34905660377359,31.650943396226417,1.3962264150943395,0.0,0.0,0.0
Madison County,FL,75.16037735849056,24.839622641509433,15.874528301886793,10.173018867924528,0.0,0.0
Madison County,GA,72.10056603773585,27.89943396226415,22.79320754716981,13.383207547169812,0.0,0.0
Madison County,IA,25.375283018867925,74.62471698113208,52.886981132075476,30.18867924528302,3.620377358490566,0.0
Madison County,ID,67.33603773584906,32.663962264150946,12.518867924528301,0.0,0.0,0.0
Madison County,IL,46.9622641509434,53.0377358490566,13.094716981132075,0.025283018867924528,0.0,0.0
Madison County,IN,38.43566037735849,61.564339622641505,27.640943396226415,1.1601886792452831,0.0,0.0
Madison County,KY,63.053773584905656,36.946226415094344,21.729811320754717,0.0,0.0,0.0
Madison County,MO,56.88849056603774,43.11150943396226,23.617169811320757,9.942075471698114,0.0,0.0
Madison County,MS,56.666226415094336,43.333773584905664,33.95547169811321,31.940377358490565,29.92490566037736,24.10056603773585
Madison County,MT,57.67415094339623,42.32584905660377,13.010566037735847,2.3641509433962264,0.0,0.0
Madison County,NC,78.19471698113207,21.805283018867925,8.945849056603773,0.0,0.0,0.0
Madison County,NE,3.492641509433962,96.50735849056605,91.6120754716981,83.14981132075471,68.04301886792453,31.23943396226415
Madison County,NY,88.70716981132075,11.292830188679245,0.0,0.0,0.0,0.0
Madison County,OH,70.67811320754717,29.32188679245283,10.10943396226415,0.0,0.0,0.0
Madison County,TN,62.666792452830194,37.33320754716981,20.899056603773587,18.887735849056604,9.814716981132076,0.0
Madison County,TX,48.04207547169811,51.95792452830189,41.445283018867926,29.422641509433966,18.867924528301888,1.7556603773584905
Madison County,VA,40.523773584905655,59.47622641509434,34.807735849056606,15.74433962264151,0.0,0.0
Madison Parish,LA,53.8445283018868,46.1554716981132,36.178867924528305,33.58150943396226,28.30188679245283,13.986415094339621
Magoffin County,KY,72.66924528301887,27.330754716981133,16.060377358490566,10.450754716981132,0.0,0.0
Mahaska County,IA,2.6154716981132076,97.38452830188679,59.85867924528302,29.75735849056604,5.029811320754717,0.0
Mahnomen County,MN,0.0,100.0,15.953018867924529,1.4079245283018869,0.0,0.0
Mahoning County,OH,69.46603773584906,30.533962264150944,13.892075471698112,0.0,0.0,0.0
Major County,OK,37.20358490566038,62.79641509433962,60.083207547169806,48.25150943396226,34.85867924528302,0.6437735849056603
Malheur County,OR,59.94245283018868,40.05754716981132,24.94622641509434,8.848490566037736,0.10547169811320754,0.0
Manassas City,VA,43.13924528301887,56.86075471698113,7.551698113207547,0.0,0.0,0.0
Manassas Park City,VA,43.74094339622641,56.25905660377359,11.295849056603775,0.0,0.0,0.0
Manatee County,FL,16.773773584905662,83.22622641509433,72.94943396226415,48.064339622641505,15.384528301886792,0.0
Manati Municipio,PR,70.97811320754717,29.021886792452833,0.0,0.0,0.0,0.0
Manistee County,MI,45.100188679245285,54.899811320754715,37.932264150943396,8.320754716981131,0.0,0.0
Manitowoc County,WI,42.660566037735855,57.33943396226415,29.672075471698115,3.4860377358490564,0.0,0.0
Marathon County,WI,51.73415094339622,48.26584905660378,24.06754716981132,1.9015094339622642,0.0,0.0
Marengo County,AL,64.8156603773585,35.18433962264151,24.797924528301888,6.811886792452831,0.0,0.0
Maricao Municipio,PR,65.05716981132076,34.942830188679245,7.724905660377359,0.0,0.0,0.0
Maricopa County,AZ,41.473584905660374,58.526415094339626,33.499245283018865,16.943584905660376,0.9101886792452829,0.0
Maries County,MO,31.768679245283018,68.23132075471699,54.76679245283019,27.19037735849057,6.350566037735849,0.0
Marin County,CA,79.24528301886792,20.754716981132077,16.9811320754717,3.7735849056603774,0.0,0.0
Marinette County,WI,44.70905660377358,55.29094339622642,14.62245283018868,0.6871698113207547,0.0,0.0
Marion County,AL,57.845849056603775,42.154150943396225,24.528301886792452,19.841509433962262,7.677735849056604,0.2147169811320755
Marion County,AR,70.1711320754717,29.828867924528303,2.6401886792452833,0.0,0.0,0.0
Marion County,FL,58.62056603773585,41.37943396226415,27.211509433962267,8.264905660377357,0.5375471698113208,0.0
Marion County,GA,66.95905660377359,33.04094339622642,1.4552830188679244,0.0,0.0,0.0
Marion County,IA,18.72056603773585,81.27943396226416,51.066981132075476,29.561132075471697,4.678679245283019,0.0
Marion County,IL,49.017169811320755,50.982830188679245,27.39301886792453,5.990566037735849,0.0,0.0
Marion County,IN,44.25245283018868,55.74754716981132,34.772075471698116,3.902641509433962,0.0,0.0
Marion County,KS,1.102830188679245,98.89716981132077,90.18283018867926,63.52603773584906,42.16754716981132,0.0
Marion County,KY,60.5277358490566,39.4722641509434,31.9411320754717,0.0,0.0,0.0
Marion County,MO,13.979811320754719,86.02018867924528,61.536792452830184,30.51377358490566,14.760754716981133,0.0
Marion County,MS,51.68830188679245,48.31169811320755,38.35150943396226,34.80849056603773,27.053584905660376,16.362264150943396
Marion County,OH,56.8477358490566,43.1522641509434,7.808679245283019,0.0,0.0,0.0
Marion County,OR,13.031698113207549,86.96830188679245,52.0945283018868,24.370566037735852,1.5396226415094338,0.0
Marion County,SC,69.53339622641509,30.466603773584907,10.909811320754718,0.11264150943396226,0.0,0.0
Marion County,TN,62.093962264150946,37.906037735849054,26.851509433962267,19.072830188679244,11.468679245283019,4.880188679245283
Marion County,TX,69.27471698113207,30.725283018867927,18.484150943396227,9.316037735849056,0.4707547169811321,0.0
Marion County,WV,80.66188679245283,19.33811320754717,1.8867924528301887,0.0,0.0,0.0
Mariposa County,CA,83.0133962264151,16.986603773584903,16.695849056603773,3.6211320754716985,1.5511320754716982,0.0
Marlboro County,SC,58.581698113207544,41.418301886792456,17.078867924528303,5.660377358490566,0.0,0.0
Marquette County,MI,94.09018867924527,5.909811320754717,0.0,0.0,0.0,0.0
Marquette County,WI,41.509433962264154,58.490566037735846,56.29433962264151,44.68188679245283,10.814339622641508,0.0
Marshall County,AL,65.25283018867924,34.74716981132075,24.826792452830187,20.84735849056604,12.021320754716982,1.211320754716981
Marshall County,IA,5.674716981132075,94.32528301886792,42.91698113207547,18.88169811320755,0.0,0.0
Marshall County,IL,56.887358490566044,43.112641509433956,19.300377358490564,7.010188679245283,0.0,0.0
Marshall County,IN,41.92396226415094,58.07603773584906,14.34811320754717,0.0,0.0,0.0
Marshall County,KS,16.421509433962264,83.57849056603773,54.97924528301887,1.0883018867924528,0.0,0.0
Marshall County,KY,68.89471698113208,31.105283018867922,6.122264150943397,0.0,0.0,0.0
Marshall County,MN,6.936981132075472,93.06301886792453,39.837169811320756,9.26566037735849,0.0,0.0
Marshall County,MS,67.7066037735849,32.29339622641509,24.474716981132076,20.754716981132077,10.211698113207548,1.849622641509434
Marshall County,OK,25.36509433962264,74.63490566037736,51.83018867924528,22.03245283018868,6.537358490566038,0.0
Marshall County,SD,44.56490566037736,55.43509433962264,11.876037735849058,0.0,0.0,0.0
Marshall County,TN,62.737169811320754,37.262830188679246,23.948679245283017,20.463396226415092,16.15490566037736,0.0
Marshall County,WV,87.01603773584907,12.983962264150943,1.8867924528301887,0.0,0.0,0.0
Martin County,FL,71.19943396226415,28.80056603773585,17.315094339622643,7.879433962264152,0.0,0.0
Martin County,IN,47.061132075471704,52.9388679245283,29.91433962264151,5.534150943396226,0.0,0.0
Martin County,KY,82.29735849056604,17.702641509433963,12.960566037735848,1.039433962264151,0.0,0.0
Martin County,MN,5.241698113207547,94.75830188679245,47.54301886792453,15.792075471698114,0.0,0.0
Martin County,NC,54.5488679245283,45.4511320754717,7.111698113207548,0.0,0.0,0.0
Martin County,TX,0.0,100.0,92.21037735849056,70.7945283018868,13.591698113207547,0.0
Martinsville City,VA,69.81132075471699,30.18867924528302,13.20754716981132,5.660377358490566,0.0,0.0
Mason County,IL,42.01830188679246,57.98169811320754,29.758867924528303,10.465660377358489,0.0,0.0
Mason County,KY,76.7333962264151,23.266603773584908,11.167735849056603,0.0,0.0,0.0
Mason County,MI,40.90792452830188,59.09207547169812,44.327358490566034,8.075094339622641,0.0,0.0
Mason County,TX,0.0,100.0,99.01358490566038,67.54905660377358,34.173962264150944,6.7818867924528305
Mason County,WA,53.341509433962266,46.658490566037734,12.214905660377358,0.0,0.0,0.0
Mason County,WV,67.00056603773585,32.99943396226415,8.079056603773585,0.0,0.0,0.0
Massac County,IL,54.675849056603774,45.324150943396226,12.871320754716983,4.919433962264152,0.0,0.0
Matagorda County,TX,25.90264150943396,74.09735849056604,66.4688679245283,38.874150943396224,22.004150943396226,12.880754716981132
Matanuska-Susitna Borough,AK,99.41094339622641,0.5890566037735849,0.0,0.0,0.0,0.0
Mathews County,VA,54.08698113207547,45.91301886792453,18.464150943396227,0.0,0.0,0.0
Maui County,HI,32.40188679245283,67.59811320754717,41.532641509433965,18.9988679245283,2.3460377358490567,0.0
Maunabo Municipio,PR,92.63094339622641,7.3690566037735845,0.0,0.0,0.0,0.0
Maury County,TN,65.84716981132075,34.152830188679246,23.164150943396226,20.114150943396226,14.864150943396226,0.0
Maverick County,TX,21.76377358490566,78.23622641509435,49.17471698113207,23.843396226415095,1.5833962264150945,0.0
Mayaguez Municipio,PR,68.33245283018867,31.667547169811318,7.293584905660377,0.0,0.0,0.0
Mayes County,OK,64.05905660377358,35.940943396226416,15.681132075471698,9.220754716981132,2.1043396226415094,0.0
McClain County,OK,30.922075471698115,69.07792452830189,47.33773584905661,23.839622641509433,7.156037735849056,0.0
McCone County,MT,31.969245283018864,68.03075471698114,50.06528301886792,28.908301886792454,3.1969811320754715,0.0
McCook County,SD,0.0,100.0,53.15622641509434,22.662075471698113,0.0,0.0
McCormick County,SC,73.83452830188679,26.16547169811321,15.044905660377358,1.7805660377358492,0.0,0.0
McCracken County,KY,53.795094339622636,46.204905660377364,10.991698113207548,2.3071698113207546,0.0,0.0
